Nam_Type_Istoch;List_RN
BKr5.Р02.222;криптон-85
BKr5.Р02.223;криптон-85
BKr5.Р02.224;криптон-85
BKr5.Р02.225;криптон-85
BKr5.Р02.233;криптон-85
BKr5.Р02.234;криптон-85
BKr5.Р02.235;криптон-85
BKr5.Р02.236;криптон-85
BKr5.Р02.244;криптон-85
BKr5.Р02.262;криптон-85
BKr5.Р02.263;криптон-85
БИС-МНА-2;стронций-90; иттрий-90
БИС-МНБ;стронций-90; иттрий-90
БИС-МНБ-1;стронций-90; иттрий-90
БИС-МНБ-2;стронций-90; иттрий-90
БИС-Н1;стронций-90; иттрий-90
БИС-Р;стронций-90; иттрий-90
CDC.808;цезий-137
CDC.809;цезий-137
CDC.810;цезий-137
CDC.811;цезий-137
CDC.90;цезий-137
CDC.91;цезий-137
CDC.92;цезий-137
CDC.93;цезий-137
CDC.CY;цезий-137
CDC.CY16;цезий-137
CDC.CY3;цезий-137
CDC.CY4;цезий-137
CDC.CY8;цезий-137
CDCB;цезий-137
CDCB 1901;цезий-137
CDCB 1902;цезий-137
CF230260100N;калифорний-252
CF230260500U;калифорний-252
CF230360001M;калифорний-252
CF230360005U;калифорний-252
ИГИ-Ц-16-1;цезий-137
ИГИ-Ц-17-1;цезий-137
ИГИ-Ц-18-1;цезий-137
ИГИ-Ц-19-1;цезий-137
ИГИ-Ц-2;цезий-137
ИГИ-Ц-20-1;цезий-137
ИГИ-Ц-2-1;цезий-137
ИГИ-Ц-21-1;цезий-137
ИГИ-Ц-22-1;цезий-137
ИГИ-Ц-3;цезий-137
ИГИ-Ц-3-0;цезий-137
ИГИ-Ц-3-1;цезий-137
ИГИ-Ц-3-10;цезий-137
ИГИ-Ц-3-11;цезий-137
ИГИ-Ц-3-2;цезий-137
ИГИ-Ц-3-3;цезий-137
ИГИ-Ц-3-4;цезий-137
ИГИ-Ц-3-5;цезий-137
ИГИ-Ц-3-6;цезий-137
ИГИ-Ц-3-7;цезий-137
ИГИ-Ц-3-8;цезий-137
ИГИ-Ц-3-9;цезий-137
ИГИ-Ц-4;цезий-137
ИГИ-Ц-4-1;цезий-137
ИГИ-Ц-4-2;цезий-137
ИГИ-Ц-4-3;цезий-137
ИГИ-Ц-4-4;цезий-137
ИГИ-Ц-4-5;цезий-137
ИГИ-Ц-4-6;цезий-137
ИГИ-Ц-5;цезий-137
ИГИ-Ц-5-1;цезий-137
ИГИ-Ц-5-2;цезий-137
ИГИ-Ц-6;цезий-137
ИГИ-Ц-6-1;цезий-137
ИГИ-Ц-7;цезий-137
ИГИ-Ц-7-1;цезий-137
ИГИ-Ц-7-2;цезий-137
ИГИ-Ц-8;цезий-137
ИГИ-Ц-8-1;цезий-137
ИГИ-Ц-8-2;цезий-137
ИГИ-Ц-9;цезий-137
ИГИ-Ц-9-1;цезий-137
ИГИЦ-I;цинк-65
ИГИЦ-II;цинк-65
ИГИ-Це;цезий-134
ИГИ-Це-1;цезий-134
ИГИ-Це-1-1;цезий-134
ИГИ-Це-1-2;цезий-134
ИГИ-Це-3;цезий-134
ИГИ-Це-3-1;цезий-134
ИГИ-ЦН;цинк-65
ИГИ-ЦН-1;цинк-65
ИГИ-ЦН-1-1;цинк-65
ИГИ-ЦН-1-2;цинк-65
ИГИ-ЦН-1-3;цинк-65
ИГИ-ЦН-1-4;цинк-65
ИГИ-ЦН-1-5;цинк-65
ИГИ-ЦН-2;цинк-65
ИГИ-ЦН-2-1;цинк-65
ИГИ-ЦН-2-2;цинк-65
ИГИ-ЦН-2-3;цинк-65
ИГИ-ЦН-2-4;цинк-65
ИГИ-ЦН-2-5;цинк-65
ИГИ-Цр;церий-144; празеодим-144
ИГИ-Цр-1;церий-144; празеодим-144
ИГИ-Цр-2;церий-144; празеодим-144
ИГИ-Цр-3;церий-144; празеодим-144
ИГИ-Цр-4;церий-144; празеодим-144
ИИР-6;иридий-192
ЯГРИО-119м-2в;олово-119м
ЯГРИО-119м-3а;олово-119м
ЯГРИО-119м-3б;олово-119м
MCo7.1233;кобальт-57
MCo7.1235;кобальт-57
MCo7.124;кобальт-57
MCo7.1242;кобальт-57
MCo7.1244;кобальт-57
MCo7.1245;кобальт-57
MCo7.1246;кобальт-57
MCo7.125;кобальт-57
MCo7.1254;кобальт-57
MCo7.14 ВН;кобальт-57
ИРИПЛ-3;плутоний-238
ИРИС-1;стронций-90; иттрий-90
НCf2.023.5;калифорний-252
GAm1.061;америций-241
GAm1.061.3;америций-241
GAm1.061.X;америций-241
GAm1.07.1;америций-241
GAm1.08;америций-241
GAm1.1;америций-241
ГК57Г1.5;кобальт-57
ГК57Г1.6;кобальт-57
ГК57Г1.7;кобальт-57
ГК57Г1.8;кобальт-57
ГК57Г1.9;кобальт-57
ГК57Г2.1;кобальт-57
ГК57Г2.2;кобальт-57
ГК57Г2.3;кобальт-57
ГК57Г2.4;кобальт-57
ГК57Г2.5;кобальт-57
ГК57Г2.6;кобальт-57
П9-495;плутоний-239
П9-496;плутоний-239
ПГЛ 1;германий-68
ПГЛ 1;натрий-22
ПГЛ 1;титан-44
ПГЛ 2;германий-68
ПГЛ З;натрий-22
ПГЛ1;германий-68
ПГЛ2;германий-68
GD334020100M;гадолиний-153
GDCK7530;гадолиний-153
GGLS-DA;цезий-137
GK60M21;кобальт-60
I;кобальт-57
I;кобальт-60
I;полоний-210
I;цезий-137
I ЯГР-ИГИК;кобальт-57
IEC;железо-55
IEC.121;железо-55
IEC.122;железо-55
IEC.123;железо-55
IEC.125;железо-55
IEC.126;железо-55
IEC.1331;железо-55
IEC.1332;железо-55
IEC.1333;железо-55
IEC.1335;железо-55
IEC.1336;железо-55
IEC.1337;железо-55
IEC.3301;железо-55
IEC.3302;железо-55
IEC.3303;железо-55
IEC.3305;железо-55
IEC.8753;железо-55
II;кадмий-109
II;кобальт-57
II;кобальт-60
II;цезий-137
II ЯГР-ИГИК;кобальт-57
III;кадмий-109
III;кобальт-57
III;плутоний-239
III;цезий-137
III ЯГР-ИГИК;кобальт-57
ОРИБИ;цезий-137
ОСАИ;америций-241
ЗРИ 03291286;радий-226
ЗРИ 101;олово-119м
ЗРИ 180488;плутоний-239
ЗРИ 210488;плутоний-239
ЗРИ 300388;плутоний-239
ЗРИ 3003881;плутоний-239
ЗРИ 4140;цезий-137
ЗРИ 5730;олово-119м
ЗРИ 5731;олово-119м
ЗРИ 67;олово-119м
ИА 1;америций-241
ИБИРЗН-63;никель-63
ИБИРЗН-63 1;никель-63
ИБИРЗН-63 1а;никель-63
ИБИРЗН-63 1а-1;никель-63
ИБИРЗН-63 2а;никель-63
ИБИРЗН-63 2б;никель-63
ИБИРЗН-63 2б-1;никель-63
ИБИРЗН-63 I;никель-63
ИБИРЗН-63 II;никель-63
FE532360040M;железо-55
FE532360050M;железо-55
FE532360100M;железо-55
GAm1;америций-241
GAm1.032;америций-241
GAm1.033;америций-241
GAm1.034;америций-241
GAm1.041;америций-241
GAm1.042;америций-241
ГЦ65;цинк-65
ГЦ65Г2.1;цинк-65
ГЦ65Г2.2;цинк-65
ГЦ65Г2.3;цинк-65
ГЦ65Г2.4;цинк-65
ГЦ65Г2.5;цинк-65
ГЦ65ГД2.1;цинк-65
ГЦ65ГД2.2;цинк-65
ГЦ65ГД2.3;цинк-65
ГЦ65ГД2.4;цинк-65
ГЦ65ГД2.5;цинк-65
ЕР-1;
ЕР-14;радий-226
ЕР-15;радий-226
ЗРИ 010488;плутоний-239
ЗРИ 01291286;радий-226
ЗРИ 02291286;радий-226
6У8-102;уран естественный
6У8-162;уран естественный
6У8-252;уран естественный
6У8-401;уран естественный
6У8-402;уран естественный
6У8-631;уран естественный
6У8-632;уран естественный
7а;плутоний-239
8а;плутоний-239
AAm1.1.08;америций-241
AAm1.1.S1;америций-241
AAm1.1.S2;америций-241
AAm1.1.S3;америций-241
AC339;кобальт-60
AM13;америций-241
AM130150001M;америций-241
AM130150005M;америций-241
AM130150010M;америций-241
AM130150025M;америций-241
AM130150050M;америций-241
AM130150100U;америций-241
AM130150500U;америций-241
AM132010001M;америций-241
AM132010005M;америций-241
AM132010010M;америций-241
AM132010025M;америций-241
AM132010050M;америций-241
AM132010100U;америций-241
AM132010500U;америций-241
AM132040001M;америций-241
AM132040005M;америций-241
AM132040010M;америций-241
AMMK7540;америций-241
AMMK7620;америций-241
AMMK7648;америций-241
AMMK7649;америций-241
AMMK7650;америций-241
AMN;америций-241
MCo7.115;кобальт-57
MCo7.121;кобальт-57
MCo7.122;кобальт-57
MCo7.1222;кобальт-57
RSL 6050;цезий-137
RSL 6060;цезий-137
RSL 6100;цезий-137
RSL 6150;цезий-137
RSL 6160;цезий-137
RSL 6240;цезий-137
RSL 6270;цезий-137
RU6;рутений-106
RU632220001M;рутений-106
RU632220002M;рутений-106
RU632220100U;рутений-106
RU632220200U;рутений-106
RU632220500U;рутений-106
SB60;кобальт-60
SE5;селен-75
SE536160020M;селен-75
SE536160050M;селен-75
SE536160100M;селен-75
ОСГИ-А;марганец-54
ОСГИ-А;натрий-22
ОСГИ-А;олово-113
ОСГИ-А;ртуть-203
ОСГИ-А;титан-44
ОСГИ-А;торий-228
ОСГИ-А;тулий-170
ОСГИ-А;хлор-39
ОСГИ-А;цезий-134
ОСГИ-А;цезий-137
ОСГИ-А;церий-139
ОСГИ-А;цинк-65
ОСГИ-Б;америций-241
ОСГИ-Б;америций-243
ОСГИ-Б;барий-133
ОСГИ-Б;висмут-207
ОСГИ-Б;гадолиний-153
ОСГИ-Б;европий-152
ОСГИ-Б;железо-55
ОСГИ-Б;иттрий-88
ОСГИ-Б;йод-125
ОСГИ-Б;кадмий-109
ОСГИ-Б;кобальт-57
ОСГИ-Б;кобальт-60
ОСГИ-Б;марганец-54
ОСГИ-Б;натрий-22
ОСГИ-Б;олово-113
ОСГИ-Б;ртуть-203
ОСГИ-Б;титан-44
ОСГИ-Б;торий-228
ОСГИ-Б;тулий-170
ОСГИ-Б;хлор-39
ОСГИ-Б;цезий-134
ОСГИ-Б;цезий-137
ОСГИ-Б;церий-139
ОСГИ-Б;цинк-65
ОСГИ-М;америций-241
ОСГИ-М;америций-243
ОСГИ-М;барий-133
ОСГИ-М;висмут-207
Т-17;стронций-90; иттрий-90
Т-18;стронций-90; иттрий-90
Т-19;стронций-90; иттрий-90
Т-2;стронций-90; иттрий-90
Т-20;стронций-90; иттрий-90
Т-21;стронций-90; иттрий-90
Т-22;стронций-90; иттрий-90
Т-3;стронций-90; иттрий-90
Т-4;стронций-90; иттрий-90
Т-5;изотопы плутония
Т-5;плутоний-239
Т-6;изотопы плутония
Т-88;таллий-204
ТВНT 14142;тритий
ТГНТ 191;тритий
ТГНТ 191М;тритий
Тип-1;цезий-137
Тип-2;цезий-137
Тип-I;цезий-137
Тип-II;цезий-137
ТИС-1;тритий
ТИС-5;тритий
ТНТ;тритий
ТНТ 132;тритий
SE536160200M;селен-75
SE536160400M;селен-75
SIF;стронций-90; иттрий-90
SIF.1171;стронций-90; иттрий-90
SIF.1174;стронций-90; иттрий-90
SIF.1175;стронций-90; иттрий-90
НК252М13.200;калифорний-252
НК252М13.300;калифорний-252
НК252М13.500;калифорний-252
НК252М14.100;калифорний-252
НК252М14.150;калифорний-252
НК252М14.200;калифорний-252
НК252М14.300;калифорний-252
CS7P17-10002C;цезий-137
СН3 РО5 2/15/3;тритий
Т-15;плутоний-239
Т-16;плутоний-239
ПФ2-120;
CO730250500U;кобальт-57
CO732010001M;кобальт-57
CO732010005M;кобальт-57
CO732010010M;кобальт-57
CO732010025M;кобальт-57
CO732010050M;кобальт-57
CO732010100M;кобальт-57
CO732010500U;кобальт-57
CO732020001M;кобальт-57
CO732020005M;кобальт-57
CO732020010M;кобальт-57
CO732020025M;кобальт-57
CUCK.7903;кадмий-109
CUCK.7910;кадмий-109
CUCK.7920;кадмий-109
CVN;калифорний-252
CVN.1;калифорний-252
CVN.10;калифорний-252
CVN.101;калифорний-252
CVN.11;калифорний-252
CVN.12;калифорний-252
CVN.2;калифорний-252
CVN.3;калифорний-252
CVN.330;калифорний-252
CVN.331;калифорний-252
CVN.352;калифорний-252
MCo7.1146;кобальт-57
ИБН-241-В1-1;америций-241
ИБН-241-В-2;америций-241
ИБН-241-В-3;америций-241
ИБН-241-В-4;америций-241
ИБН-241-К-1;америций-241
FE532040005M;железо-55
FE532040010M;железо-55
FE532040030M;железо-55
FE532040040M;железо-55
FE532040050M;железо-55
FE532040100M;железо-55
FE532050001M;железо-55
FE532050005M;железо-55
FE532050010M;железо-55
FE532050030M;железо-55
НК252Д.26;калифорний-252
НК252М;калифорний-252
НК252М01.07;калифорний-252
GAm1.213;америций-241
GAm1.214;америций-241
GAm1.311;америций-241
GAm1.312;америций-241
GAm1.313;америций-241
GAm1.314;америций-241
GAm1.6.S1;америций-241
GBa3;барий-133
GBa3.044;барий-133
GBa3.045;барий-133
GBa3.06;барий-133
GBa3.061;барий-133
GBa3.10;барий-133
GBa3.111;барий-133
GBa3.112;барий-133
GBa3.113;барий-133
GBa3.114;барий-133
GBa3.115;барий-133
GBa3.116;барий-133
MSn9.252;олово-119м
MSn9.253;олово-119м
MSn9.254;олово-119м
1СО-802;стронций-90; иттрий-90
1СО-803;стронций-90; иттрий-90
1СО-804;стронций-90; иттрий-90
1СО-805;стронций-90; иттрий-90
1СО-83;стронций-90; иттрий-90
1СО-84;стронций-90; иттрий-90
1Т4;таллий-204
1У4;уран-234
1У4-101;уран-234
1У4-161;уран-234
1У4-251;уран-234
1У4-400;уран-234
1У4-401;уран-234
1У4-630;уран-234
1У8;уран-238
1У8-400;уран естественный
1УГ;углерод-14
2.3 СВЗТ/3;тритий
2.3 СВЗТ/3 Выход;тритий
2.3 СВЗТ/3 Стрелка;тритий
2г;цезий-137
2К-0;кобальт-60
2П9;плутоний-239
2П9-102;плутоний-239
2П9-103;плутоний-239
2П9-104;плутоний-239
2П9-105;плутоний-239
2П9-161;плутоний-239
2П9-162;плутоний-239
2П9-163;плутоний-239
2П9-164;плутоний-239
2П9-165;плутоний-239
2П9-251;плутоний-239
2П9-252;плутоний-239
2П9-253;плутоний-239
2П9-254;плутоний-239
2П9-255;плутоний-239
2П9-401;плутоний-239
CO730250050M;кобальт-57
CO730250100M;кобальт-57
ОСГИ-3-2;ртуть-203
ОСГИ-3-2;титан-44
ОСГИ-3-2;торий-228
ОСГИ-3-2;тулий-170
ОСГИ-3-2;хлор-39
ОСГИ-3-2;цезий-134
ОСГИ-3-2;цезий-137
ОСГИ-3-2;церий-139
ОСГИ-3-2;цинк-65
ОСГИ-3-2-1;америций-241
ОСГИ-3-2-1;америций-243
ОСГИ-3-2-1;барий-133
ОСГИ-3-2-1;висмут-207
ОСГИ-3-2-1;гадолиний-153
ОСГИ-3-2-1;европий-152
ОСГИ-3-2-1;железо-55
ОСГИ-3-2-1;иттрий-88
ОСГИ-3-2-1;йод-125
ОСГИ-3-2-1;кадмий-109
ОСГИ-3-2-1;кобальт-57
ОСГИ-3-2-1;кобальт-60
Model 702;уран-238
MSCRA-3;кобальт-57
ГК60М313.212;кобальт-60
MCo7.512;кобальт-57
MCo7.513;кобальт-57
MCo7.514;кобальт-57
GCo0.312;кобальт-60
GCo0.54;кобальт-60
GCo60;кобальт-60
GCo60B;кобальт-60
GCo60B.2530;кобальт-60
GCo60B.2900;кобальт-60
GCo60B.3050;кобальт-60
GCo60B.3140;кобальт-60
GCo60B.3330;кобальт-60
GCo7;кобальт-57
GCo7.032;кобальт-57
MSn9.135;олово-119м
FE532050050M;железо-55
FE532050100M;железо-55
FE532150001M;железо-55
FE532150005M;железо-55
FE532150010M;железо-55
FE532150030M;железо-55
FE532150040M;железо-55
FE532150050M;железо-55
FE532150100M;железо-55
FE532360001M;железо-55
FE532360005M;железо-55
FE532360010M;железо-55
FE532360030M;железо-55
ТНТ С192;тритий
ТНТ1411;тритий
ТНТ1413;тритий
СГ-76-7.1 - СГ-76-7.2;калифорний-252
СГ-86-4.1 - СГ-86-4.2;калифорний-252
СГ-87.11.1 - СГ-87-11.2;калифорний-252
СГ-96-9.1 - СГ-6-9.2;калифорний-252
СДС;кобальт-57
СГ-37-4.1 - СГ-37-4.2;калифорний-252
СГ-37-5.1 - СГ-37-5.2;калифорний-252
ГК60М313.411;кобальт-60
ГК60М313.412;кобальт-60
ГК60М313.4121;кобальт-60
ГК60М313.9;кобальт-60
ГК60М313.911;кобальт-60
ГК60М324;кобальт-60
ГК60М324.213;кобальт-60
ГК60М324.412;кобальт-60
ГК60М324.712;кобальт-60
ГК60М41.207;кобальт-60
ГК60М41.257;кобальт-60
ГК60М41.307;кобальт-60
ПТ-44.В01.01;титан-44
ПТ-44.В01.02;титан-44
ПТ-44.В01.03;титан-44
ПТ-44.В01.04;титан-44
XCm4.132;кюрий-244
Кактус Р1/7;цезий-137
Кактус Р1/8;цезий-137
Кактус Р1/9;цезий-137
Кактус Р2/4;цезий-137
Кактус Р2/5;цезий-137
Кактус Р21/3;цезий-137
Калифорниевый;калифорний-252
Камера измерительная ОИСН;барий-133
КГИ;цезий-137
КИГ;кобальт-57
КИГ-АД-1;кобальт-57
КИГ-АД-2;кобальт-57
КИГ-АД-3;кобальт-57
КИГ-АД-4;кобальт-57
КИГ-АДМ-1;кобальт-57
КИГ-АДМ-2;кобальт-57
КИГ-АДМ-3;кобальт-57
КИГ-АДМ-4;кобальт-57
КИГ-АК-1;кобальт-57
КИГ-АК-2;кобальт-57
КИГ-АК-3;кобальт-57
НCf2.011.9;калифорний-252
НCf2.012;калифорний-252
НCf2.022.2;калифорний-252
НCf2.023.4;калифорний-252
БИТр-М;тритий
БИТР-М3;тритий
БИЦ;церий-144; празеодим-144
БИЦ-10;церий-144; празеодим-144
БИЦ-20;церий-144; празеодим-144
БИЦ-30;церий-144; празеодим-144
БИЦ-40;церий-144; празеодим-144
БИЦ-50;церий-144; празеодим-144
БИЦ-К;церий-144; празеодим-144
БИЦ-Р;церий-144; празеодим-144
БК85;криптон-85
БК85.011;криптон-85
БК85.04;криптон-85
БК85.071;криптон-85
MSn9.261;олово-119м
NA230250010U;натрий-22
NA230250100U;натрий-22
ИРИП;прометий-147
ИРИП-1;прометий-147
ИРИП-2;прометий-147
ИРИП-3;прометий-147
ИРИП-4;прометий-147
GCs7;цезий-137
GCs7.12;цезий-137
GCs7.43;цезий-137
GCs7.44;цезий-137
GCs7.45;цезий-137
GCs7.46;цезий-137
GCs7.47;цезий-137
GCs7.471;цезий-137
GD3;гадолиний-153
GD332010005M;гадолиний-153
GD332010010M;гадолиний-153
GD332010020M;гадолиний-153
GD332010050M;гадолиний-153
GD332010100M;гадолиний-153
GD334020005M;гадолиний-153
GD334020010M;гадолиний-153
GD334020020M;гадолиний-153
GD334020050M;гадолиний-153
KR5NER81700200M;криптон-85
KR5NER81700500M;криптон-85
KR5NER81701150M;криптон-85
KR5NER81800010M;криптон-85
KR5NER81800020M;криптон-85
KR5NER81800050M;криптон-85
KR5NER81800100M;криптон-85
KR5NER81800300M;криптон-85
KR5NER81800700M;криптон-85
KR5NER81801500M;криптон-85
GBa3.13;барий-133
GBa3.14;барий-133
CTC.2;кобальт-57
CTC.3;кобальт-57
CTC.4;кобальт-57
CUC;кадмий-109
CUC.8733;кадмий-109
CUC.8734;кадмий-109
CUC.8735;кадмий-109
CUC.8736;кадмий-109
CUCK;кадмий-109
CUCK.7901;кадмий-109
ОСГИ-3-2-2р;цезий-134
CDC 7903;цезий-137
CDC 7904;цезий-137
CDC 7905;цезий-137
CDC 7906;цезий-137
CDC 7908;цезий-137
CDC 3827;цезий-137
CDC 3828;цезий-137
CDC 6202;цезий-137
CDC 706;цезий-137
МК57.ВР5.04;кобальт-57
ИМГИЦ-150;цезий-137
ИМГИЦ-2;цезий-137
ИМГИЦ-20;цезий-137
ИМГИЦ-200;цезий-137
ИМГИЦ2-1;цезий-137
ИМГИЦ2-10;цезий-137
ИМГИЦ2-100;цезий-137
ГК60М41.357;кобальт-60
ГК60М61.29;кобальт-60
ГК60М61.39;кобальт-60
ГК60Р;кобальт-60
ГК60Р01;кобальт-60
ГК60Р01.01;кобальт-60
ГК60Р02.01;кобальт-60
ГК60Р02.02;кобальт-60
ГК60Р02.04;кобальт-60
ГК60Р03;кобальт-60
ГК60Р03.02;кобальт-60
ГК60Р03.03;кобальт-60
CDC 3804;цезий-137
CDC 3805;цезий-137
CDC 3806;цезий-137
CDC 3807;цезий-137
CDC 3808;цезий-137
CDC 3809;цезий-137
CDC 3810;цезий-137
CDC 3811;цезий-137
CDC 3820;цезий-137
CDC 3821;цезий-137
CDC 38210;цезий-137
CDC 3822;цезий-137
CDC 3823;цезий-137
CDC 3824;цезий-137
CDC 3825;цезий-137
CDC 3826;цезий-137
SIF.1176;стронций-90; иттрий-90
SIF.1177;стронций-90; иттрий-90
SIF.1546;стронций-90; иттрий-90
SIF.4415;стронций-90; иттрий-90
SKDB;натрий-22
SKDB 2121;натрий-22
SKDB 2122;натрий-22
SKDB 2123;натрий-22
SKDB 2449;натрий-22
SR0;стронций-90
SR032030001M;стронций-90
SR032030002M;стронций-90
SR032030005M;стронций-90
SR032030010M;стронций-90
SR032030020M;стронций-90
ГИО-МАК-III;олово-119м
ГИТ-К;кобальт-60
V ЯГР-ИГИК;кобальт-57
CO030150100U;кобальт-60
CO030150500M;кобальт-60
CO030250001M;кобальт-60
CO030250005M;кобальт-60
CO030250010M;кобальт-60
CO030250050M;кобальт-60
CO030250100M;кобальт-60
CO030250100U;кобальт-60
CO030250500M;кобальт-60
CO030260001M;кобальт-60
CO030260005M;кобальт-60
CO030260010M;кобальт-60
CO030260050M;кобальт-60
CO030260100M;кобальт-60
CO030260100U;кобальт-60
CO030260500M;кобальт-60
CO030440001C;кобальт-60
CO030440001M;кобальт-60
CO030440004C;кобальт-60
CO030440010M;кобальт-60
CO030440100M;кобальт-60
CO030440100U;кобальт-60
CVN.353;калифорний-252
CVN.4;калифорний-252
CVN.5;калифорний-252
CVN.6;калифорний-252
CVN.7;калифорний-252
ER;радий-226
ER-14;радий-226
EU2;европий-152
EU230000001M;европий-152
EU230000005M;европий-152
EU230000010M;европий-152
EU230000020M;европий-152
EU230000100U;европий-152
EU230000250U;европий-152
EU230000500U;европий-152
EU230110001M;европий-152
EU230110005M;европий-152
EU230110010M;европий-152
EU230110020M;европий-152
EU230110100U;европий-152
EU230110250U;европий-152
ИНКМ-Ш30-1;калифорний-252
ИНКМ-Ш30-2;калифорний-252
Иридиевый диск;иридий-192
ИРИЖ;железо-55
ИРИЖ-1;железо-55
ИРИЖ-2;железо-55
ИРИЖ-3;железо-55
ИРИЖ-30;железо-55
ИРИЖ-55-1;железо-55
ИРИЖ-V;железо-55
ИРИЖ-Р;железо-55
ИРИК-АД-1;кадмий-109
ИРИК-АД-2;кадмий-109
ИРИК-АД-3;кадмий-109
ГU5.Р02.1206;уран-235
ГА241М1;америций-241
ГАМ1;америций-241
ГАМ1.08.1;америций-241
ГАМ1.101;америций-241
ГАМ1.101.4;америций-241
ГАМ1.101.x;америций-241
ГАМ1.18;америций-241
ГАМ1.18х;америций-241
ГАМ1.Х.1;америций-241
ГБ133.Р02А;барий-133
ГБ-Р-0,2;барий-133
ГГ153Г;гадолиний-153
ГГ153Г1.1;гадолиний-153
ГГ153Г1.2;гадолиний-153
ГГ153Г1.3;гадолиний-153
ГГ153Г1.4;гадолиний-153
ГГ153Г1.5;гадолиний-153
ГГ153Г1.6;гадолиний-153
ГГ153Г2.1;гадолиний-153
ГГ153Г2.2;гадолиний-153
ГГ153Г2.3;гадолиний-153
ГГ153Г2.4;гадолиний-153
ГГ153Г2.5;гадолиний-153
ГГ153Г2.6;гадолиний-153
ГГ-68;германий-68
Генератор радона ГРК-1;радий-226
Генератор радона ГРТ-1;радий-226
Генератор радона ГРТ-1М;радий-226
Генератор радона ГРТ-2М;радий-226
ГИ192М;иридий-192
ГИ192М11.112;иридий-192
ГИ192М11.140;иридий-192
ГИ192М11.90;иридий-192
ГИ192М3;иридий-192
ГИ192М31.112;иридий-192
ГИ192М31.211;иридий-192
ГИ192М31.212;иридий-192
ГИ192М31.312;иридий-192
ГИ192М31.410;иридий-192
ГИ192М31.412;иридий-192
ГИ192М31.711;иридий-192
ГИ192М32.112;иридий-192
ГИ192М32.211;иридий-192
ГИ192М32.212;иридий-192
ГИ192М32.312;иридий-192
ГИ192М32.410;иридий-192
ГИ192М32.412;иридий-192
ГИ192М32.711;иридий-192
ГИ192М33.112;иридий-192
ГИ192М33.211;иридий-192
ГИ192М33.212;иридий-192
ГИ192М33.312;иридий-192
ГИ192М33.410;иридий-192
ГИ192М33.412;иридий-192
ГИ192М33.711;иридий-192
ГИ192М5;иридий-192
ГИ192М51.1;иридий-192
ГИ192М52.4;иридий-192
ГИ192М53.14;иридий-192
ГИ192М54.25;иридий-192
ГИ192М54.30;иридий-192
ГИ192М54.35;иридий-192
ГИ192М54.40;иридий-192
ГИ192М54.45;иридий-192
ГИ192М55;иридий-192
КИГ-АК-4;кобальт-57
КИГ-АТ-1;кобальт-57
КИГ-АТ-2;кобальт-57
КИГ-АТ-3;кобальт-57
КМ;кобальт-60
КМ 200;кобальт-60
КМ13-6;кобальт-60
КМ1-4;кобальт-60
КМ1-5;кобальт-60
КМ2-3;кобальт-60
КМ2-4;кобальт-60
КМ2-5;кобальт-60
КМ2-6;кобальт-60
КМ3-2;кобальт-60
КМ3-3;кобальт-60
КМ3-4;кобальт-60
КМ3-5;кобальт-60
КМ3-6;кобальт-60
КМ3-6, тип П;кобальт-60
КМ3-7;кобальт-60
КМ3-7, тип П;кобальт-60
КМ5-4;кобальт-60
КМ5-7;кобальт-60
КМ6-4;кобальт-60
КМ6-5;кобальт-60
КМ6-6;кобальт-60
ОСГИ-3-2-1;марганец-54
ОСГИ-3-2-1;натрий-22
ОСГИ-3-2-1;олово-113
ОСГИ-3-2-1;ртуть-203
ОСГИ-3-2-1;титан-44
ОСГИ-3-2-1;торий-228
ОСГИ-3-2-1;тулий-170
ОСГИ-3-2-1;хлор-39
ОСГИ-3-2-1;цезий-134
ОСГИ-3-2-1;цезий-137
ОСГИ-3-2-1;церий-139
ОСГИ-3-2-1;цинк-65
ОСГИ-3-2-2р;америций-241
ОСГИ-3-2-2р;америций-243
ОСГИ-3-2-2р;барий-133
ОСГИ-3-2-2р;висмут-207
ОСГИ-3-2-2р;гадолиний-153
ОСГИ-3-2-2р;европий-152
ОСГИ-3-2-2р;железо-55
ОСГИ-3-2-2р;иттрий-88
ОСГИ-3-2-2р;йод-125
ОСГИ-3-2-2р;кадмий-109
ОСГИ-3-2-2р;кобальт-57
ОСГИ-3-2-2р;кобальт-60
ОСГИ-3-2-2р;марганец-54
ОСГИ-3-2-2р;натрий-22
ОСГИ-3-2-2р;олово-113
ОСГИ-3-2-2р;ртуть-203
ОСГИ-3-2-2р;титан-44
ОСГИ-3-2-2р;торий-228
ОСГИ-3-2-2р;тулий-170
ОСГИ-3-2-2р;хлор-39
CS732240005M;цезий-137
CS732240005U;цезий-137
CS732240050U;цезий-137
CS732240100U;цезий-137
CS73224010U;цезий-137
CS732240500U;цезий-137
CS734020005M;цезий-137
CS734020010M;цезий-137
CS734020050M;цезий-137
CS734020100M;цезий-137
CS734020100U;цезий-137
CS734020500U;цезий-137
CS7A38880001M;цезий-137
CS7A38880001U;цезий-137
CS7A38880010U;цезий-137
CS7A38880084N;цезий-137
CS7A38880100N;цезий-137
CS7A38880100U;цезий-137
CS7A39160001M;цезий-137
CS7A39160001U;цезий-137
CS7A39160010U;цезий-137
CS7A39160084N;цезий-137
CS7A39160100N;цезий-137
ИНК-3-7;калифорний-252
ИНК-4;калифорний-252
ИНК-4-3;калифорний-252
ИНК-5;калифорний-252
ИНК-6;калифорний-252
ИНК-7;калифорний-252
