Nam_Type_Istoch;List_RN
AM1G100005M;америций-241
AM1G100010M;америций-241
AM1G100015M;америций-241
AM1G100020M;америций-241
AM1G100030M;америций-241
AM1G110001M;америций-241
AM1G110005M;америций-241
AM1G110010M;америций-241
AM1G110020M;америций-241
AM1G110050M;америций-241
AM1G110100M;америций-241
AM1G110500U;америций-241
CS7P200002C;цезий-137
CS7P200004C;цезий-137
CS7P200006C;цезий-137
CS7P200008C;цезий-137
CS7P200010C;цезий-137
CTC;кобальт-57
CTC.10022;кобальт-57
CTC.10033;кобальт-57
CTC.10122;кобальт-57
CTC.10123;кобальт-57
FE532050040M;железо-55
ОСГИ;олово-113
BA330240005M;барий-133
BA330240010M;барий-133
MSn9.233;олово-119м
MSn9.234;олово-119м
MSn9.235;олово-119м
MSn9.2355;олово-119м
MSn9.236;олово-119м
MSn9.251;олово-119м
ИНКМ-Ш10-1;калифорний-252
ИНКМ-Ш10-2;калифорний-252
ИНКМ-Ш20-1;калифорний-252
ГС75М13.311;селен-75
ГС75М13.312;селен-75
ГС75М13.411;селен-75
ГС75М13.412;селен-75
ГС75М13.512;селен-75
ГС75М13.611;селен-75
ГС75М13.711;селен-75
ГС75М13.811;селен-75
ГС75М13.90;селен-75
ГС75М13.910;селен-75
ГС75М14;селен-75
ГС75М14.111;селен-75
ГС75М14.112;селен-75
ГС75М14.140;селен-75
ГС75М14.200;селен-75
ГС75М14.212;селен-75
ГС75М14.311;селен-75
ОСГИ;ртуть-203
ОСГИ;титан-44
ОСГИ;торий-228
ОСГИ;тулий-170
ОСГИ;хлор-39
ОСГИ;цезий-134
ОСГИ;цезий-137
ОСГИ;церий-139
PPu8.07;плутоний-238
НК252М41.18;калифорний-252
НК252М41.19;калифорний-252
НК252М41.27;калифорний-252
НК252М41.28;калифорний-252
НК252М41.29;калифорний-252
НК252М41.57;калифорний-252
НК252М41.58;калифорний-252
НК252М41.59;калифорний-252
НК252М41.77;калифорний-252
НК252М41.78;калифорний-252
НК252М44;калифорний-252
НК252М5;калифорний-252
НК252М57;калифорний-252
НК252М6;калифорний-252
НК252МГ;калифорний-252
ГНТ3-29;тритий
ГНТ3-40;тритий
ГНТ3-67;тритий
ГНТ3-67-01;тритий
ГНТ3-67М;тритий
ГНТ5-67;тритий
ГО119мГ;олово-119м
ИГИ-Е-1;европий-152; европий-154
ИГИ-Е-1-1;европий-152; европий-154
НК252М11.26;калифорний-252
НК252М11.27;калифорний-252
НК252М11.28;калифорний-252
НК252М11.56;калифорний-252
НК252М11.57;калифорний-252
НК252М11.58;калифорний-252
НК252М11.76;калифорний-252
НК252М11.77;калифорний-252
НК252М11.78;калифорний-252
НК252М12.110;калифорний-252
НК252М12.210;калифорний-252
НК252М12.29;калифорний-252
НК252М12.59;калифорний-252
НК252М12.79;калифорний-252
НК252М13.100;калифорний-252
НК252М13.150;калифорний-252
НК252М32.16;калифорний-252
НК252М32.26;калифорний-252
НК252М32.56;калифорний-252
НК252М32.76;калифорний-252
НК252М41.17;калифорний-252
CDCB 1942;цезий-137
CDCK;цезий-137
CDCK 3287;цезий-137
CDCK 3804;цезий-137
CDCK 3806;цезий-137
CDCK 4103;цезий-137
CDCK 5129;цезий-137
CDCK 5751;цезий-137
CDCK 7433;цезий-137
CDCK 7788;цезий-137
CDCK 8265;цезий-137
CDCK 8266;цезий-137
CDCK 8267;цезий-137
CDCK 8272;цезий-137
CDCK 8274;цезий-137
CDCK 8275;цезий-137
CDCK 8321;цезий-137
CDCQ;цезий-137
CDCQ 6202;цезий-137
CDCQ 6949;цезий-137
CDCQ 7147;цезий-137
CDRB;цезий-137
CF2;калифорний-252
CF230140001M;калифорний-252
CF230140005U;калифорний-252
CF230140010U;калифорний-252
CF230140100N;калифорний-252
CF230140500U;калифорний-252
CF230230001M;калифорний-252
CF230230005U;калифорний-252
CF230230010U;калифорний-252
CF230230100N;калифорний-252
CF230230500U;калифорний-252
CF230240001M;калифорний-252
CF230240005U;калифорний-252
CF230240010U;калифорний-252
CF230240100N;калифорний-252
CF230240500U;калифорний-252
БИП;прометий-147
БИП-10;прометий-147
БИП-20;прометий-147
БИП-30;прометий-147
БИП-40;прометий-147
БИП-50;прометий-147
БИП-50х150;прометий-147
БИП-7;прометий-147
БИП-А1;прометий-147
БИП-А2;прометий-147
БИП-К;прометий-147
БИП-К1;прометий-147
БИП-К2;прометий-149
БИП-М;прометий-147
БИП-Н-1;прометий-147
БИП-Н-2;прометий-147
БИП-П;прометий-147
БИП-Р1;прометий-147
БИП-Р2;прометий-147
БИР;рутений-106; родий-106
БИР-10;рутений-106; родий-106
БИР-20;рутений-106; родий-106
БИР-30;рутений-106; родий-106
БИР-40;рутений-106; родий-106
БИР-50;рутений-106; родий-106
БИС;стронций-90; иттрий-90
БИС-1;стронций-90; иттрий-90
БИС-10;стронций-90; иттрий-90
БИС-2;стронций-90; иттрий-90
БИС-20;стронций-90; иттрий-90
БИС-20-ТБФУ-64;стронций-90; иттрий-90
БИС-3;стронций-90; иттрий-90
БИС-30;стронций-90; иттрий-90
